track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
spotify:track:1AM1o0mKbgAK5oMpY8B3Z7,0.5920000000000001,0.562,10,-6.869,0,0.0239,0.00373,3.2299999999999986e-05,0.223,0.208,90.16,250173
spotify:track:2b29qJRy4asbQNFjPO96XC,0.652,0.473,0,-7.981,0,0.0313,0.243,0.0,0.134,0.368,123.208,294867
spotify:track:5NaOWLOmVjcA3M5spRATN9,0.6940000000000001,0.8240000000000001,1,-6.756,1,0.0909,0.119,7.15e-06,0.152,0.675,95.833,299827
spotify:track:3hp4ojt7tHLWwz6SaR7vkw,0.535,0.523,2,-7.601,1,0.0312,0.603,0.0,0.0943,0.17,107.889,273933
spotify:track:3RSpK5Y0y5tl25qvssrwJ6,0.607,0.317,7,-10.244000000000002,0,0.0289999999999999,0.732,4.53e-05,0.086,0.111,108.122,230933
spotify:track:1YisXNr4DPHcPB4v5XfQ0t,0.55,0.562,9,-7.392,1,0.0464,0.598,4.24e-06,0.067,0.281,148.167,262573
spotify:track:6iUlUzSGZzKtlCvQ3wCVZD,0.716,0.433,6,-9.137,0,0.0411,0.0132,0.0,0.099,0.316,135.876,283573
spotify:track:0sFTeQMlO1jJgxyfdDrAZl,0.604,0.3939999999999999,3,-11.852,1,0.0276,0.622,2.92e-06,0.31,0.268,103.753,259867
spotify:track:2PWnjWaIVuDeT4mXZgHWgR,0.327,0.384,10,-8.093,1,0.032,0.612,1.28e-06,0.1169999999999999,0.0524,129.985,260627
spotify:track:4l1W5SkH8EJJ9RQEq6UFMW,0.573,0.818,4,-5.157,1,0.0471,0.0465,0.0,0.111,0.789,128.987,234133
spotify:track:5EMonOPcEHIOXK1QOGr4QA,0.4639999999999999,0.952,9,-3.607,1,0.115,0.0004379999999999,0.0,0.0976,0.552,132.88299999999998,236493
spotify:track:5mqEL5pgnDCcWtTWpAofIV,0.62,0.85,9,-4.096,1,0.0327,0.0079099999999999,0.0,0.0769,0.715,107.982,176507
spotify:track:3DUGWLHFA5B0dI80WhnL9F,0.433,0.928,9,-4.438,1,0.148,0.000993,5.48e-06,0.087,0.785,175.89700000000005,198760
spotify:track:4tgeQrPu5xkrnwErym2JsJ,0.583,0.652,7,-6.255,1,0.0244,0.0405,0.0003779999999999,0.0781,0.352,97.469,249840
spotify:track:6AGTsYXO0IcJuw0k2iCr6N,0.4039999999999999,0.905,0,-4.657,1,0.1119999999999999,0.000788,0.0,0.238,0.644,190.002,166067
spotify:track:65PSBrWwQpadwkvO6weZel,0.475,0.883,2,-5.265,1,0.0594,0.0133,0.0,0.196,0.687,179.90200000000004,213133
spotify:track:3mNecsYFb6LQg7822DPXCP,0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,189333
spotify:track:3ttCUEHcvNK6NUFfvCYOBI,0.631,0.725,2,-5.1320000000000014,1,0.0431,0.0143,0.0,0.107,0.759,95.745,237354
spotify:track:2qaWSNAp5XJpOETtk0lVqY,0.608,0.85,9,-9.154,1,0.0313,0.115,2.92e-06,0.143,0.8390000000000001,145.009,151307
spotify:track:7bNDFrHTqxu3gNvMTO1aY8,0.602,0.7170000000000001,8,-9.916,1,0.0376,0.0544,0.0,0.1889999999999999,0.826,164.94,166227
spotify:track:5aJspmuLq55KVtw0iojoyQ,0.595,0.3720000000000001,7,-12.953,1,0.027,0.173,0.0,0.136,0.467,132.67,231400
spotify:track:65N3RYCN1DgfY0Zcv5k9kr,0.721,0.735,5,-11.849,0,0.0284,0.115,0.0,0.0499,0.961,127.575,178867
spotify:track:1fYypIR0kaFzaSRbzvtjl9,0.664,0.7390000000000001,9,-7.229,1,0.0415,0.0364,4.99e-05,0.282,0.759,110.101,182120
spotify:track:3ad5lkh61Lsyzlvck0zMol,0.7709999999999999,0.6859999999999999,6,-11.05,1,0.0284,0.173,0.0,0.103,0.962,124.621,166800
spotify:track:2wmEryA2YLaFwFvA63n3O2,0.439,0.4539999999999999,0,-8.669,1,0.0308,0.2789999999999999,0.0,0.123,0.354,204.263,249360
spotify:track:3K1gcmCknGWEmZCV1Wrvlg,0.7070000000000001,0.491,3,-11.138,1,0.0299,0.231,0.0,0.139,0.909,106.567,179227
spotify:track:0CM2b2ot93bClD6i08Vq0s,0.643,0.557,7,-11.067,1,0.0295,0.0672,1.08e-06,0.255,0.755,134.82,203707
spotify:track:4joOSX3M71Gl3e2z3fnyLt,0.608,0.8959999999999999,5,-8.048,1,0.0339,0.0442,0.0145,0.337,0.903,107.468,271360
spotify:track:5rpyTHDG26DofzYC0lNOhK,0.514,0.777,7,-6.316,1,0.0323,0.0775,0.0,0.0874,0.69,161.8,198333
spotify:track:2cZGFVhPogaxV2eYm1V7KS,0.575,0.496,4,-10.068,1,0.026,0.347,0.0,0.124,0.414,89.958,236600
spotify:track:6leiB1fEsTnVCuPiielde5,0.507,0.85,5,-5.678999999999999,1,0.0472,0.3779999999999999,0.0,0.0567,0.847,171.8,183733
spotify:track:5u7BDyugDW7ZXkXdCxU9JC,0.465,0.54,1,-7.097,1,0.0277,0.177,2.82e-06,0.106,0.2339999999999999,75.88,296333
spotify:track:7AHw9SfOITU9Q7sj3V5vxV,0.605,0.804,5,-7.521,1,0.0363,0.265,4.93e-06,0.345,0.601,98.866,217733
spotify:track:4y1LsJpmMti1PfRQV9AWWe,0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,238267
spotify:track:7o9uu2GDtVDr9nsR7ZRN73,0.726,0.449,0,-9.206,1,0.0286,0.487,1.34e-06,0.0824,0.294,130.388,241333
spotify:track:2FAL6hxj5Qxuj0kWOkEOsF,0.583,0.8909999999999999,9,-4.565,0,0.0345,0.00088,0.0001629999999999,0.103,0.8140000000000001,136.79399999999998,229267
spotify:track:2CIDqYfIYfl9vx02wIyCG9,0.573,0.65,8,-5.934,1,0.0257,0.201,1.58e-06,0.048,0.346,95.1,272840
spotify:track:31n4cN86SByaFMCvPzSzpU,0.71,0.818,7,-5.511,1,0.411,0.155,1.56e-06,0.1119999999999999,0.7040000000000001,112.212,232067
spotify:track:53o4NWr7YqeD9jiZ1Da4sx,0.591,0.848,11,-3.224,0,0.0473,0.000132,0.152,0.075,0.68,134.684,210000
spotify:track:5hYr8yRbQLFE20oS7Mi3T2,0.797,0.762,10,-6.972,1,0.259,0.0141,1.05e-05,0.064,0.722,94.224,276867
spotify:track:7N2lr3CCJGLxBUkF4PSkch,0.379,0.978,2,-3.144,1,0.093,0.00437,0.0,0.423,0.482,182.007,202973
spotify:track:3B9W8NK6FiaNZCZFIzLdwo,0.5660000000000001,0.8320000000000001,8,-4.644,1,0.0603,0.00505,0.0,0.127,0.86,175.028,230667
spotify:track:5BmagRD7Thki6O1zZwbxBy,0.251,0.954,6,-2.879,1,0.0691,0.000674,0.000132,0.0975,0.264,191.05900000000003,258000
spotify:track:2A6yzRGMgSQCUapR2ptm6A,0.397,0.207,0,-13.155,1,0.0331,0.701,3.07e-05,0.1159999999999999,0.268,171.282,227600
